CORR	DIST	REPR	IDIO	IDIO_UNNORMALIZED	FREQ
[r] : [ʎ]	0.042	0.583	0.078	0.931	26812|24
[z] : [s]	0.081	0.957	0.149	0.891	1316|13816
[kː] : [kːʲ]	0.052	0.937	0.099	0.866	4560|1170
[-] : [dːʲ]	0.027	0.371	0.050	0.836	0|7
[ʃ] : [ʒ]	0.049	0.923	0.094	0.832	3407|564
[ɲ] : [ɲː]	0.072	0.679	0.130	0.793	81|2289
[ʧ] : [ʃ]	0.093	0.919	0.169	0.788	8160|3407
[g] : [gʲ]	0.038	0.937	0.074	0.779	7182|529
[h] : [k]	0.071	0.862	0.131	0.616	1996|10703
[-] : [gːʲ]	0.021	0.382	0.039	0.592	0|17
[ʣ] : [ʦ]	0.033	0.968	0.064	0.550	800|1636
[kʲ] : [tʲ]	0.127	0.670	0.213	0.535	1096|71
[gʲ] : [ʤ]	0.024	0.955	0.047	0.512	529|1179
[g] : [-]	0.029	0.951	0.056	0.511	7182|0
[j] : [kːʲ]	0.053	0.921	0.101	0.508	7360|1170
[x] : [k]	0.063	0.692	0.116	0.479	333|10703
[j] : [kʲ]	0.048	0.906	0.091	0.442	7360|1096
[ʎː] : [gːʲ]	0.033	0.551	0.062	0.427	2511|17
[zː] : [ʣ]	0.012	0.576	0.024	0.388	4|800
[l] : [ʎ]	-0.025	0.581	-0.052	0.367	19045|24
[-] : [j]	0.034	0.923	0.066	0.348	0|7360
[-] : [i]	0.021	0.992	0.041	0.342	0|26193
[gʲ] : [j]	0.029	0.932	0.056	0.337	529|7360
[ʦ] : [s]	0.021	0.963	0.040	0.274	1636|13816
[ʣː] : [ʦː]	0.019	0.963	0.037	0.198	1473|3356
[nː] : [ɲ]	0.006	0.757	0.012	0.165	810|81
[ʣ] : [-]	0.003	0.988	0.005	0.065	800|0
[θ] : [h]	0.003	0.760	0.005	0.053	3653|1996
[b] : [β]	0.001	0.769	0.002	0.051	9134|238
[d] : [-]	0.002	0.940	0.004	0.050	6797|0
[ʎː] : [dːʲ]	-0.050	0.539	-0.110	0.026	2511|7
[x] : [h]	0.048	0.646	0.089	0.018	333|1996
[g] : [ɣ]	0.002	0.776	0.003	0.017	7182|785
[θ] : [t]	0.008	0.814	0.016	0.017	3653|15698
[n] : [ŋ]	0.070	0.468	0.122	0.013	24546|27
[ɸ] : [p]	0.003	0.841	0.006	0.010	1666|12429
[n] : [õ]	0.010	0.541	0.019	0.010	24546|11
[ð] : [d]	0.009	0.768	0.017	0.009	775|6797
[i] : [i̞]	-0.022	0.551	-0.046	0.007	26193|4
[i̞] : [i]	0.022	0.597	0.043	-0.007	4|26193
[d] : [ð]	-0.009	0.750	-0.018	-0.009	6797|775
[õ] : [n]	-0.010	0.586	-0.020	-0.010	11|24546
[p] : [ɸ]	-0.003	0.843	-0.006	-0.010	12429|1666
[ŋ] : [n]	-0.070	0.686	-0.156	-0.013	27|24546
[t] : [θ]	-0.008	0.806	-0.016	-0.017	15698|3653
[ɣ] : [g]	-0.002	0.771	-0.003	-0.017	785|7182
[h] : [x]	-0.048	0.598	-0.104	-0.018	1996|333
[dːʲ] : [ʎː]	0.050	0.562	0.092	-0.026	7|2511
[-] : [d]	-0.002	0.938	-0.004	-0.050	0|6797
[β] : [b]	-0.001	0.784	-0.002	-0.052	238|9134
[ɲ] : [nː]	-0.006	0.679	-0.012	-0.170	81|810
[ʦː] : [ʣː]	-0.019	0.962	-0.038	-0.206	3356|1473
[s] : [ʦ]	-0.021	0.964	-0.042	-0.292	13816|1636
[j] : [gʲ]	-0.029	0.928	-0.060	-0.362	7360|529
[j] : [-]	-0.034	0.933	-0.071	-0.382	7360|0
[ʎ] : [l]	0.025	0.709	0.048	-0.402	24|19045
[gːʲ] : [ʎː]	-0.033	0.527	-0.070	-0.465	17|2511
[kʲ] : [j]	-0.048	0.894	-0.101	-0.488	1096|7360
[k] : [x]	-0.063	0.635	-0.141	-0.542	10703|333
[ʤ] : [gʲ]	-0.024	0.950	-0.050	-0.559	1179|529
[kːʲ] : [j]	-0.053	0.909	-0.113	-0.571	1170|7360
[-] : [g]	-0.029	0.949	-0.059	-0.585	0|7182
[tʲ] : [kʲ]	-0.127	0.686	-0.311	-0.587	71|1096
[ʦ] : [ʣ]	-0.033	0.971	-0.069	-0.606	1636|800
[k] : [h]	-0.071	0.858	-0.154	-0.724	10703|1996
[ɲː] : [ɲ]	-0.072	0.758	-0.159	-0.921	2289|81
[ʃ] : [ʧ]	-0.093	0.937	-0.206	-0.967	3407|8160
[ʒ] : [ʃ]	-0.049	0.913	-0.104	-0.983	564|3407
[kːʲ] : [kː]	-0.052	0.930	-0.110	-1.048	1170|4560
[s] : [z]	-0.081	0.954	-0.176	-1.126	13816|1316
[rː] : [r]	-0.071	0.956	-0.154	-1.235	540|26812
[ɲ] : [n]	-0.070	0.680	-0.157	-1.344	81|24546
[tʲ] : [j]	-0.109	0.699	-0.260	-1.393	71|7360
[mː] : [m]	-0.064	0.994	-0.137	-1.437	430|10648
[-] : [w]	-0.072	0.988	-0.155	-1.466	0|1672
[bː] : [β]	-0.060	0.769	-0.130	-1.568	452|238
[-] : [k]	-0.108	0.941	-0.243	-1.722	0|10703
[-] : [kː]	-0.119	0.967	-0.272	-1.795	0|4560
[ʃ] : [s]	-0.113	0.941	-0.257	-1.808	3407|13816
[ʎː] : [ʎ]	-0.146	0.584	-0.388	-1.894	2511|24
[θ] : [dː]	-0.093	0.459	-0.235	-1.989	3653|15
[ʒ] : [ʤ]	-0.171	0.964	-0.416	-2.304	564|1179
[t] : [dː]	-0.102	0.490	-0.257	-2.575	15698|15
[ʤː] : [ʤ]	-0.108	0.982	-0.243	-2.748	1265|1179
[h] : [-]	-0.174	0.795	-0.446	-3.039	1996|0
[x] : [-]	-0.130	0.548	-0.339	-3.264	333|0
[bː] : [b]	-0.156	0.986	-0.371	-4.042	452|9134
[t] : [tʲ]	-0.145	0.686	-0.367	-5.536	15698|71
[d] : [dʲ]	-0.171	0.647	-0.464	-7.208	6797|22
[dː] : [d]	-0.246	0.543	-0.896	-12.566	15|6797
