CORR	DIST	REPR	IDIO	FREQ
[z] : [s]	-0.049	0.956	-0.104	1316|13816
[bː] : [b]	-0.050	0.993	-0.104	452|9134
[l] : [ʎ]	-0.057	0.648	-0.124	19045|24
[j] : [kʲ]	-0.059	0.904	-0.126	7360|1096
[j] : [gʲ]	-0.071	0.931	-0.154	7360|529
[k] : [-]	-0.079	0.969	-0.171	10703|0
[ʦ] : [ʣ]	-0.080	0.959	-0.175	1636|800
[b] : [β]	-0.099	0.761	-0.227	9134|238
[x] : [-]	-0.125	0.572	-0.319	333|0
[g] : [ɣ]	-0.132	0.764	-0.320	7182|785
[ʦ] : [sː]	-0.145	0.959	-0.341	1636|1388
[ʒ] : [ʤ]	-0.152	0.984	-0.360	564|1179
[h] : [-]	-0.161	0.846	-0.398	1996|0
[ʦ] : [s]	-0.165	0.952	-0.398	1636|13816
[t] : [tʲ]	-0.153	0.668	-0.398	15698|71
[t] : [θ]	-0.168	0.805	-0.425	15698|3653
[ʃ] : [ʧ]	-0.185	0.956	-0.459	3407|8160
[d] : [ð]	-0.186	0.737	-0.496	6797|775
[p] : [ɸ]	-0.192	0.839	-0.499	12429|1666
[k] : [x]	-0.215	0.656	-0.639	10703|333
[ʎ] : [ʎː]	-0.227	0.650	-0.696	24|2511
[k] : [h]	-0.267	0.868	-0.770	10703|1996
