CORR	DIST	REPR	IDIO	FREQ
[dʲ] : [g]	-0.104	0.643	-0.248	22|7182
[gʲ] : [j]	-0.113	0.898	-0.259	529|7360
[ʣ] : [z]	-0.122	0.951	-0.279	800|1316
[ɣ] : [g]	-0.124	0.754	-0.296	785|7182
[kʲ] : [tʲ]	-0.133	0.648	-0.333	1096|71
[β] : [b]	-0.140	0.756	-0.342	238|9134
[kːʲ] : [tːʲ]	-0.138	0.504	-0.381	1170|22
[ʣː] : [ʣ]	-0.163	0.971	-0.391	1473|800
[ʎ] : [ʎː]	-0.156	0.682	-0.404	24|2511
[ɸ] : [p]	-0.166	0.700	-0.436	1666|12429
[j] : [-]	-0.185	0.927	-0.463	7360|0
[ð] : [d]	-0.183	0.637	-0.514	775|6797
[θ] : [t]	-0.199	0.670	-0.567	3653|15698
[ʤ] : [ʒ]	-0.233	0.932	-0.620	1179|564
[ʧ] : [ʃ]	-0.310	0.899	-0.947	8160|3407
