CORR	DIST	REPR	IDIO
[ɲ] -> [n]	-0.032	0.000	0.000
[ɲ] -> [ɲː]	0.322	0.000	0.000
[ʎ] -> [l]	-0.045	0.000	0.000
[ʎ] -> [r]	-0.053	0.000	0.000
[ʎ] -> [ʎː]	0.164	0.000	0.000
[ʎː] -> [-]	0.094	0.000	0.000
[ʃ] -> [s]	-0.007	0.657	-0.015
[kːʲ] -> [j]	-0.008	0.659	-0.017
[r] -> [rː]	-0.011	0.659	-0.023
[kʲ] -> [tʲ]	-0.018	0.396	-0.037
[kʲ] -> [j]	-0.027	0.643	-0.057
[kː] -> [kːʲ]	-0.030	0.631	-0.062
[x] -> [h]	-0.030	0.404	-0.064
[ʦː] -> [ʣː]	-0.031	0.658	-0.066
[s] -> [z]	-0.034	0.652	-0.072
[b] -> [bː]	-0.036	0.673	-0.077
[tʲ] -> [j]	-0.043	0.530	-0.094
[ʣ] -> [ʦ]	-0.048	0.706	-0.102
[gʲ] -> [j]	-0.049	0.675	-0.106
[β] -> [b]	-0.057	0.579	-0.127
[sː] -> [ʦ]	-0.091	0.700	-0.209
[ɣ] -> [g]	-0.095	0.613	-0.225
[s] -> [ʦ]	-0.102	0.698	-0.240
[θ] -> [t]	-0.120	0.628	-0.295
[ʤ] -> [ʒ]	-0.122	0.656	-0.301
[ð] -> [d]	-0.125	0.638	-0.310
[ʧ] -> [ʃ]	-0.128	0.660	-0.318
[ɸ] -> [p]	-0.133	0.651	-0.335
[x] -> [k]	-0.153	0.467	-0.454
[h] -> [k]	-0.186	0.631	-0.528
[ʎː] -> [ʎ]	-0.164	0.432	-0.528
